Part Name, Description, LCSC Part, Total Price ($)
CL05B104KO5NNNC,100nF 0402 Ceramic Capacitors,C1525,0.216
CL05A475MP5NRNC,10V 0402 Ceramic Capacitors,C23733,0.207
CL05C100JB5NNNC,10pF 0402 Ceramic Capacitors,C32949,0.053
CL05A105KA5NQNC,1uF 0402 Ceramic Capacitors,C52923,0.318
CL05A225MQ5NSNC,2.2uF 0402 Ceramic Capacitors,C12530,0.032
S2B-PH-SM4-TB(LF)(SN),PH JST Connector 2mm,C295747,1.0675
1N5819WS,Schottky Diodes,C191023,3.876
05A20L14P,FPC Connector,C22435642,0.351
TYPE-C-31-M-12,USB-C Connectors,C165948,0.9215
YLED0603Y,Yellow 0603 LED,C19273152,0.13
0402WGF1002TCE,10k ohm 0402 Resistor,C25744,0.0575
0402WGF5101TCE,5.1k ohm 0402 Resistor,C25905,0.067
0402WGF5100TCE,510 ohm 0402 Resistor,C25123,0.0305
0402WGF1001TCE,1k ohm 0402 Resistor,C11702,0.098
0402WGF100JTCE,10 ohm 0402 Resistor,C25077,0.0855
TS-1187A-B-A-B,Tactile Switches,C318884,4.553
MST-12D18G4 SPDT Slide Switch,Slide Switches,C49023767,0.4135
MAX17048G+T10,Battery Sense IC MAX17048GT10,C2682616,10.803
BQ24040DSQR,Lithium Battery Charge IC BQ24040DSQR,C81080,2.219
TLV76133DCYR,3.3V Fixed Voltage Regulators - Linear,C7527500,1.095
STM32F411RET6,Microcontroller,C94355,17.822
X322516MLB4SI,16MHz 9pF Crystal Oscillator,C13738,0.464
