Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C7",0402,5,100nF,
C10,0402,1,100uF,
"C11, C12, C13, C14",0402,4,1uF,
C15,0402,1,0.1uF,
C5,0402,1,4.7uF,
C6,0402,1,2.2uF,
"C8, C9",0402,2,10pF,
CN1,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,1,S2B-PH-SM4-TB,C295747
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D36, D37, D38, D39, D4, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D7, D8, D9",SOD-323_L1.8-W1.3-LS2.5-RD,57,1N5819WS,C191023
FPC1,CONN-SMD_05A20L14P,1,05A20L14P,C22435642
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
"J13, J14",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
LED1,LED0603-RD-1,1,YLED0603Y,C19273152
"MOUSE-BITE-5MM-SLOT_2, MOUSE-BITE-5MM-SLOT",mouse-bite-5mm-slot,2,VAL**,
R1,0402,1,10k,
"R2, R3",0402,2,5.1K,
"R4, R5",0402,2,27,
R6,0402,1,540,
R7,0402,1,1k,
R8,0402,1,1M,
R9,0402,1,200k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW36, SW37, SW38, SW39, SW4, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW7, SW8, SW9",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,58,Switch,C318884
SW25,SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH,1,SLIDE SWITCH,C49023767
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F401RETx,
U2,WSON-10_L2.0-W2.0-P0.40-BL-EP,1,BQ24040DSQR,C81080
U3,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75801PDRV,
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,16Mhz,C13738
