Designator,Mid X,Mid Y,Rotation,Layer
C1,116.875,-46.75,180.0,top
C10,111.6,-41.15,90.0,top
C11,78.82125,-107.45,0.0,top
C12,76.97625,-107.45,0.0,top
C13,72.884836,-105.04,180.0,top
C14,69.730164,-105.52,90.0,top
C15,112.03,-38.7,180.0,top
C2,124.6,-45.7,270.0,top
C3,126.15,-34.85,0.0,top
C4,115.3,-33.3,90.0,top
C5,113.72,-44.25,180.0,top
C6,122.421171,-47.195034,270.0,top
C7,112.6,-41.15,90.0,top
C8,110.38,-32.35,0.0,top
C9,110.38,-37.35,180.0,top
CN1,123.75,-115.4,0.0,top
D1,34.0,-55.25,90.0,top
D10,42.5,-89.25,90.0,top
D11,51.0,-55.25,90.0,top
D12,51.0,-63.75,90.0,top
D13,51.0,-72.25,90.0,top
D14,51.0,-80.75,90.0,top
D15,51.0,-89.25,90.0,top
D16,59.5,-55.25,90.0,top
D17,59.5,-63.75,90.0,top
D18,59.5,-72.25,90.0,top
D19,59.5,-80.75,90.0,top
D2,34.0,-63.75,90.0,top
D20,59.5,-89.25,90.0,top
D21,68.0,-55.25,90.0,top
D22,68.0,-63.75,90.0,top
D23,68.0,-72.25,90.0,top
D24,68.0,-80.75,90.0,top
D26,76.5,-55.25,90.0,top
D27,76.5,-63.75,90.0,top
D28,76.5,-72.25,90.0,top
D29,76.5,-80.75,90.0,top
D3,34.0,-72.25,90.0,top
D30,80.75,-89.25,90.0,top
D31,85.0,-55.25,90.0,top
D32,85.0,-63.75,90.0,top
D33,85.0,-72.25,90.0,top
D34,85.0,-80.75,90.0,top
D36,93.5,-55.25,90.0,top
D37,93.5,-63.75,90.0,top
D38,93.5,-72.25,90.0,top
D39,93.5,-80.75,90.0,top
D4,34.0,-80.75,90.0,top
D41,102.0,-55.25,90.0,top
D42,102.0,-63.75,90.0,top
D43,102.0,-72.25,90.0,top
D44,102.0,-80.75,90.0,top
D45,102.0,-89.25,90.0,top
D46,110.5,-55.25,90.0,top
D47,110.5,-63.75,90.0,top
D48,110.5,-72.25,90.0,top
D49,110.5,-80.75,90.0,top
D5,34.0,-89.25,90.0,top
D50,110.5,-89.25,90.0,top
D51,119.0,-55.25,90.0,top
D52,119.0,-63.75,90.0,top
D53,119.0,-72.25,90.0,top
D54,119.0,-80.75,90.0,top
D55,119.0,-89.25,90.0,top
D56,127.5,-55.25,90.0,top
D57,127.5,-63.75,90.0,top
D58,127.5,-72.25,90.0,top
D59,127.5,-80.75,90.0,top
D6,42.5,-55.25,90.0,top
D60,127.5,-89.25,90.0,top
D7,42.5,-63.75,90.0,top
D8,42.5,-72.25,90.0,top
D9,42.5,-80.75,90.0,top
FPC1,32.9375,-35.6875,180.0,top
J1,66.29,-115.0,270.0,top
J13,66.6,-134.4,0.0,top
J14,95.14,-93.2,270.0,top
J2,94.8,-36.41,0.0,top
LED1,65.5,-106.85,90.0,top
MOUSE-BITE-5MM-SLOT_2,74.0,-98.0,0.0,top
MOUSE-BITE-5MM-SLOT,116.5,-98.0,0.0,top
R1,118.9,-32.3,180.0,top
R2,72.09,-112.975,90.0,top
R3,72.04,-117.475,270.0,top
R4,127.652154,-37.676272,0.0,top
R5,127.652154,-36.676272,0.0,top
R6,79.94625,-105.6,270.0,top
R7,66.82,-107.215,90.0,top
R8,70.664836,-106.365,270.0,top
R9,69.714836,-107.365,270.0,top
SW1,29.75,-51.0,0.0,top
SW10,38.25,-85.0,0.0,top
SW11,46.75,-51.0,0.0,top
SW12,46.75,-59.5,0.0,top
SW13,46.75,-68.0,0.0,top
SW14,46.75,-76.5,0.0,top
SW15,46.75,-85.0,0.0,top
SW16,55.25,-51.0,0.0,top
SW17,55.25,-59.5,0.0,top
SW18,55.25,-68.0,0.0,top
SW19,55.25,-76.5,0.0,top
SW2,29.75,-59.5,0.0,top
SW20,55.25,-85.0,0.0,top
SW21,63.75,-51.0,0.0,top
SW22,63.75,-59.5,0.0,top
SW23,63.75,-68.0,0.0,top
SW24,63.75,-76.5,0.0,top
SW25,101.8,-105.4875,180.0,top
SW26,72.25,-51.0,0.0,top
SW27,72.25,-59.5,0.0,top
SW28,72.25,-68.0,0.0,top
SW29,72.25,-76.5,0.0,top
SW3,29.75,-68.0,0.0,top
SW30,76.5,-85.0,0.0,top
SW31,80.75,-51.0,0.0,top
SW32,80.75,-59.5,0.0,top
SW33,80.75,-68.0,0.0,top
SW34,80.75,-76.5,0.0,top
SW36,89.25,-51.0,0.0,top
SW37,89.25,-59.5,0.0,top
SW38,89.25,-68.0,0.0,top
SW39,89.25,-76.5,0.0,top
SW4,29.75,-76.5,0.0,top
SW41,97.75,-51.0,0.0,top
SW42,97.75,-59.5,0.0,top
SW43,97.75,-68.0,0.0,top
SW44,97.75,-76.5,0.0,top
SW45,97.75,-85.0,0.0,top
SW46,106.25,-51.0,0.0,top
SW47,106.25,-59.5,0.0,top
SW48,106.25,-67.9,0.0,top
SW49,106.25,-76.5,0.0,top
SW5,29.75,-85.0,0.0,top
SW50,106.25,-85.0,0.0,top
SW51,114.75,-51.0,0.0,top
SW52,114.75,-59.5,0.0,top
SW53,114.75,-68.0,0.0,top
SW54,114.75,-76.5,0.0,top
SW55,114.75,-85.0,0.0,top
SW56,123.25,-51.0,0.0,top
SW57,123.25,-59.5,0.0,top
SW58,123.25,-68.0,0.0,top
SW59,123.25,-76.5,0.0,top
SW6,38.25,-51.0,0.0,top
SW60,123.25,-85.0,0.0,top
SW61,102.5,-33.9,0.0,top
SW7,38.25,-59.5,0.0,top
SW8,38.25,-68.0,0.0,top
SW9,38.25,-76.5,0.0,top
U1,119.95,-39.5,270.0,top
U2,77.97625,-105.825,90.0,top
U3,72.502336,-106.765,0.0,top
Y1,110.63,-34.85,270.0,top
